#User names and interests
Hero  : Hadoop, Big Data, HBase, Java, Spark, Storm, Cassandra
Dunn  : NoSQL, MongoDB, Cassandra, HBase, Postgres
Sue   : Python, scikit-learn, scipy, numpy, statsmodels, pandas
Chi   : R, python, statistics, regression, probability
Thor  : machine learning, regression, decision trees, libsvm
Clive : Python, R, Java, C++, Haskell, programming languages
Hicks : statistics, probability, mathematics, theory
Devin : machine learning, scikit-learn, Mahout, neural networks
Kate  : deep learning, Big Data, artificial intelligence
Klein : Hadoop, Java, MapReduce, Big Data

#Friendships
0,1
0,2
1,2
1,3
2,3
3,4
4,5
5,6
5,7
6,8
7,8
8,9
